tree0: accuracy 0.98950; number of nodes 68; APL 52.13
tree1: accuracy 0.99117; number of nodes 64; APL 49.19
tree2: accuracy 0.99183; number of nodes 58; APL 46.19
tree3: accuracy 0.99067; number of nodes 60; APL 47.82
tree4: accuracy 0.98983; number of nodes 54; APL 42.47
tree5: accuracy 0.99083; number of nodes 52; APL 39.46
tree6: accuracy 0.99067; number of nodes 52; APL 41.34
tree7: accuracy 0.99033; number of nodes 50; APL 39.67
tree8: accuracy 0.99167; number of nodes 52; APL 39.85
tree9: accuracy 0.99183; number of nodes 48; APL 36.55
tree10: accuracy 0.98850; number of nodes 48; APL 38.42
tree11: accuracy 0.98467; number of nodes 48; APL 36.66
tree12: accuracy 0.98867; number of nodes 48; APL 37.88
tree13: accuracy 0.98550; number of nodes 46; APL 35.31
tree14: accuracy 0.98233; number of nodes 46; APL 35.75
tree15: accuracy 0.98150; number of nodes 42; APL 31.34
tree16: accuracy 0.98550; number of nodes 40; APL 29.39
tree17: accuracy 0.98550; number of nodes 38; APL 28.02
tree18: accuracy 0.98533; number of nodes 34; APL 24.54
tree19: accuracy 0.97450; number of nodes 30; APL 21.71
tree20: accuracy 0.97767; number of nodes 26; APL 18.31
tree21: accuracy 0.95183; number of nodes 24; APL 16.40
tree22: accuracy 0.95833; number of nodes 24; APL 16.62
tree23: accuracy 0.98450; number of nodes 24; APL 16.40
tree24: accuracy 0.95100; number of nodes 22; APL 14.61
tree25: accuracy 0.95100; number of nodes 22; APL 14.67
tree26: accuracy 0.95100; number of nodes 22; APL 14.67
tree27: accuracy 0.95100; number of nodes 22; APL 14.81
tree28: accuracy 0.95100; number of nodes 16; APL 9.95
tree29: accuracy 0.95100; number of nodes 14; APL 8.61
