tree0: accuracy 0.99571; number of nodes 56; APL 41.60
tree1: accuracy 0.99714; number of nodes 56; APL 41.42
tree2: accuracy 0.99286; number of nodes 56; APL 41.18
tree3: accuracy 0.99571; number of nodes 52; APL 38.19
tree4: accuracy 0.99571; number of nodes 50; APL 36.59
tree5: accuracy 0.99714; number of nodes 50; APL 36.67
tree6: accuracy 0.99714; number of nodes 50; APL 36.59
tree7: accuracy 0.99286; number of nodes 48; APL 35.77
tree8: accuracy 0.99429; number of nodes 46; APL 34.61
tree9: accuracy 0.99286; number of nodes 46; APL 34.85
tree10: accuracy 0.99286; number of nodes 46; APL 34.61
tree11: accuracy 0.99143; number of nodes 46; APL 34.84
tree12: accuracy 0.99000; number of nodes 48; APL 35.84
tree13: accuracy 0.98857; number of nodes 44; APL 32.35
tree14: accuracy 0.98857; number of nodes 42; APL 31.03
tree15: accuracy 0.98857; number of nodes 40; APL 29.58
tree16: accuracy 0.99000; number of nodes 40; APL 29.36
tree17: accuracy 0.99000; number of nodes 34; APL 24.17
tree18: accuracy 0.98286; number of nodes 32; APL 22.43
tree19: accuracy 0.98000; number of nodes 30; APL 21.03
tree20: accuracy 0.97714; number of nodes 28; APL 20.10
tree21: accuracy 0.96857; number of nodes 26; APL 18.50
tree22: accuracy 0.94857; number of nodes 26; APL 17.86
tree23: accuracy 0.94000; number of nodes 26; APL 18.14
tree24: accuracy 0.94000; number of nodes 24; APL 16.44
tree25: accuracy 0.94000; number of nodes 22; APL 14.84
tree26: accuracy 0.94000; number of nodes 22; APL 14.81
tree27: accuracy 0.94000; number of nodes 22; APL 14.59
tree28: accuracy 0.94000; number of nodes 16; APL 9.95
tree29: accuracy 0.94000; number of nodes 14; APL 8.66
tree30: accuracy 0.94000; number of nodes 8; APL 4.51
tree31: accuracy 0.66429; number of nodes 6; APL 2.75
tree32: accuracy 0.33857; number of nodes 4; APL 1.49
