tree0: accuracy 0.99950; number of nodes 26; APL 12.34
tree1: accuracy 0.99900; number of nodes 26; APL 12.35
tree2: accuracy 0.99950; number of nodes 26; APL 12.35
tree3: accuracy 0.99850; number of nodes 26; APL 12.35
tree4: accuracy 0.99850; number of nodes 26; APL 12.34
tree5: accuracy 0.99850; number of nodes 26; APL 11.90
tree6: accuracy 0.99850; number of nodes 24; APL 10.80
tree7: accuracy 0.99850; number of nodes 24; APL 10.79
tree8: accuracy 0.99850; number of nodes 24; APL 11.30
tree9: accuracy 0.99850; number of nodes 24; APL 11.30
tree10: accuracy 0.99850; number of nodes 24; APL 10.85
tree11: accuracy 0.99850; number of nodes 24; APL 10.85
tree12: accuracy 0.99850; number of nodes 24; APL 10.36
tree13: accuracy 0.99850; number of nodes 24; APL 10.36
tree14: accuracy 0.99850; number of nodes 24; APL 10.85
tree15: accuracy 0.99750; number of nodes 22; APL 9.25
tree16: accuracy 0.99750; number of nodes 22; APL 9.75
tree17: accuracy 0.99800; number of nodes 22; APL 10.18
tree18: accuracy 0.99800; number of nodes 20; APL 9.67
tree19: accuracy 0.99400; number of nodes 20; APL 9.26
tree20: accuracy 0.99200; number of nodes 16; APL 8.00
tree21: accuracy 0.98700; number of nodes 16; APL 7.99
tree22: accuracy 0.98550; number of nodes 16; APL 7.54
tree23: accuracy 0.98000; number of nodes 16; APL 8.71
tree24: accuracy 0.97200; number of nodes 16; APL 8.31
tree25: accuracy 0.96850; number of nodes 18; APL 9.02
tree26: accuracy 0.96550; number of nodes 16; APL 6.86
tree27: accuracy 0.95500; number of nodes 16; APL 7.44
tree28: accuracy 0.95100; number of nodes 14; APL 6.24
tree29: accuracy 0.95100; number of nodes 14; APL 6.70
tree30: accuracy 0.95100; number of nodes 8; APL 4.05
tree31: accuracy 0.95100; number of nodes 6; APL 2.35
tree32: accuracy 0.95100; number of nodes 4; APL 1.55
